title,price,client_price
Colchón Natasha Pillow Top Beautyrest Black Simmons,2217.85,1996.07
Colchón Natasha Soft Hibrid Beautyrest Black Simmons,1877.98,1690.18
Colchón Natasha Luxury Firm Beautyrest Black Simmons,1877.98,1690.18
Colchón Hope Luxury Firm Beautyrest Silver Simmons,1209.54,1088.59
Colchón Harmony Soft Pillow Top Simmons,984.99,886.49
Colchón Harmony Medium Firm Pillow Top Simmons,984.99,886.49
Colchón Harmony Extra Firm Simmons,776.99,699.29
Colchón Harmony Soft Simmons,776.99,699.29
Colchón Harmony Medium Firm Simmons,776.99,699.29
Topper para Colchón de Poliéster / Espuma Memory,452.8,407.52
Protector para Colchón Ultrasonido Blanco,19.5,17.55
Protector para colchón impermeable Vlinder,26.69,24.02
Protector para colchón Noperti,30.79,27.71
Protector Impermeable para Colchón Blanco de Polipropileno,33.87,30.48
Protector acolchado de colchón Simmons,33.87,30.48
Colchoneta Inflable para Camping Intex,36.95,33.26
Protector para colchón Basic,37.98,34.18
Protector impermeable colchón Soft Ultra Comfort,39.01,35.11
Protector para colchón de cuna,47.41,42.67
Protector para colchón Allergy Care Louisville,49.28,44.35
